# VolumeName  Mass_kg  MaterialName
av_5_impr_1_MiniCryoCubeBottomPlate_pv_0 1.00639 CopperCryoCubeBottomPlate
av_5_impr_1_electronicPlate_pv_1 0.192282 CopperCryoCubeElectronicPlate
av_5_impr_1_BoloKaptonBand_pv_2 0.000460006 BoloKaptonBand
av_5_impr_1_BoloKaptonBand_pv_3 0.000460006 BoloKaptonBand
av_5_impr_1_BoloKaptonBand_pv_4 0.000460006 BoloKaptonBand
av_5_impr_1_ElectronicBoard_pv_5 0.001359 PCB
av_5_impr_1_ElectronicBoard_pv_6 0.001359 PCB
av_5_impr_1_ElectronicBoard_pv_7 0.001359 PCB
av_5_impr_1_ElectronicCoverPlate_pv_8 0.119992 CopperCryoCubeElectronicCoverPlate
av_5_impr_1_ConnectorSupport_pv_9 0.0134845 CopperCryoCubeConnectorSupport
av_5_impr_1_ConnectorSupport_pv_10 0.0134845 CopperCryoCubeConnectorSupport
av_5_impr_1_ConnectorSupport_pv_11 0.0134845 CopperCryoCubeConnectorSupport
av_5_impr_1_Connector_pv_12 0.0029 ConnectorsMaterial
av_5_impr_1_Connector_pv_13 0.0029 ConnectorsMaterial
av_5_impr_1_Connector_pv_14 0.0029 ConnectorsMaterial
av_6_impr_1_CrystalBolo_pv_0 0.0418654 Germanium
av_6_impr_1_BoloKaptonSupport_pv_1 0.00275215 CopperKaptonSupport
av_6_impr_1_BoloKaptonSupport_pv_2 0.00275215 CopperKaptonSupport
av_6_impr_1_BoloKapton_pv_3 2.08869e-05 BoloKapton
av_6_impr_1_BoloKapton_pv_4 2.08869e-05 BoloKapton
av_6_impr_1_SideBoloKaptonSupport_pv_5 0.000953344 CopperSideKaptonSupport
av_6_impr_1_SideBoloKapton_pv_6 7.2352e-06 BoloKapton
av_6_impr_1_Support_pv_7 0.117876 CopperInnerSupport
av_6_impr_1_Support_pv_8 0.158702 CopperOuterSupport
av_6_impr_2_CrystalBolo_pv_0 0.0418654 Germanium
av_6_impr_2_BoloKaptonSupport_pv_1 0.00275215 CopperKaptonSupport
av_6_impr_2_BoloKaptonSupport_pv_2 0.00275215 CopperKaptonSupport
av_6_impr_2_BoloKapton_pv_3 2.08869e-05 BoloKapton
av_6_impr_2_BoloKapton_pv_4 2.08869e-05 BoloKapton
av_6_impr_2_SideBoloKaptonSupport_pv_5 0.000953344 CopperSideKaptonSupport
av_6_impr_2_SideBoloKapton_pv_6 7.2352e-06 BoloKapton
av_6_impr_2_Support_pv_7 0.117876 CopperInnerSupport
av_6_impr_2_Support_pv_8 0.158702 CopperOuterSupport
av_6_impr_3_CrystalBolo_pv_0 0.0418654 Germanium
av_6_impr_3_BoloKaptonSupport_pv_1 0.00275215 CopperKaptonSupport
av_6_impr_3_BoloKaptonSupport_pv_2 0.00275215 CopperKaptonSupport
av_6_impr_3_BoloKapton_pv_3 2.08869e-05 BoloKapton
av_6_impr_3_BoloKapton_pv_4 2.08869e-05 BoloKapton
av_6_impr_3_SideBoloKaptonSupport_pv_5 0.000953344 CopperSideKaptonSupport
av_6_impr_3_SideBoloKapton_pv_6 7.2352e-06 BoloKapton
av_6_impr_3_Support_pv_7 0.117876 CopperInnerSupport
av_6_impr_3_Support_pv_8 0.158702 CopperOuterSupport

# Per-material totals (kg)
TOTAL_MASS Aluminium 375.029
TOTAL_MASS BoloKapton 0.000441081
TOTAL_MASS BoloKaptonBand 0.00414006
TOTAL_MASS BandKapton 0.00414006
TOTAL_MASS ConnectorsMaterial 0.0261
TOTAL_MASS CopperCryoCubeBottomPlate 3.01916
TOTAL_MASS CopperCryoCubeConnectorSupport 0.121363
TOTAL_MASS CopperCryoCubeElectronicCoverPlate 0.359977
TOTAL_MASS CopperCryoCubeElectronicPlate 0.576827
TOTAL_MASS CopperInnerShielding 94.2173
TOTAL_MASS CopperInnerSupport 1.06088
TOTAL_MASS CopperKaptonSupport 0.0495388
TOTAL_MASS CopperNOSV 3.90638
TOTAL_MASS CopperOuterSupport 1.42832
TOTAL_MASS CopperPillar 8.05298
TOTAL_MASS CopperPlate 36.6728
TOTAL_MASS CopperScreen1KBottom 1.41432
TOTAL_MASS CopperScreen1KFlangeBottom 1.86913
TOTAL_MASS CopperScreen1KFlangeMid 1.86913
TOTAL_MASS CopperScreen1KFlangeTop 0.934564
TOTAL_MASS CopperScreen1KWall 18.2568
TOTAL_MASS CopperScreen4KBottom 1.70446
TOTAL_MASS CopperScreen4KFlangeBottom 2.2944
TOTAL_MASS CopperScreen4KFlangeMid 2.2944
TOTAL_MASS CopperScreen4KFlangeTop 1.1472
TOTAL_MASS CopperScreen4KWall 24.5239
TOTAL_MASS CopperScreen50KBottom 2.04304
TOTAL_MASS CopperScreen50KFlangeBottom 2.50619
TOTAL_MASS CopperScreen50KFlangeMid 2.50619
TOTAL_MASS CopperScreen50KFlangeTop 1.25309
TOTAL_MASS CopperScreen50KWall 31.7213
